left,top,right,bottom,river_bass,location,quantity,p/100 m,lat,lon,city,samples,hex_id
2538251.549630850553513,1180937.262499999953434,2538828.899900040123612,1180437.262499999953434,aare,la-thiele_le-mujon_confluence,"9",46.000000000000000,46.775340000000000,6.630900000000000,Yverdon-les-Bains,"1","54155"
2538684.562332742847502,1184187.262499999953434,2539261.912601932417601,1183687.262499999953434,aare,pecos-plage,"104",141.000000000000000,46.803590000000000,6.636650000000000,Grandson,"1","54590"
2539550.587736527435482,1182187.262499999953434,2540127.938005717005581,1181687.262499999953434,aare,signalpain,"226",478.000000000000000,46.786200000000001,6.647360000000000,Yverdon-les-Bains,"1","55478"
2539983.600438419729471,1181937.262499999953434,2540560.950707609299570,1181437.262499999953434,aare,la-petite-plage,"1211",91.000000000000000,46.785054000000002,6.656877000000000,Yverdon-les-Bains,"12","55921"
2549076.867178156040609,1185187.262499999953434,2549654.217447345610708,1184687.262499999953434,aare,ruisseau-de-la-croix-plage,"31",62.000000000000000,46.813920000000003,6.774700000000000,Cheyres-Châbles,"1","65196"
2549509.879880048334599,1185937.262499999953434,2550087.230149237904698,1185437.262499999953434,aare,plage-de-cheyres,"872",57.500000000000000,46.818688999999999,6.782256000000000,Cheyres-Châbles,"12","65637"
2554706.032302754931152,1189937.262499999953434,2555283.382571944501251,1189437.262499999953434,aare,nouvelle-plage,"28",45.000000000000000,46.856646400000002,6.848428000000000,Estavayer,"1","70933"
2556438.083110324107111,1199937.262499999953434,2557015.433379513677210,1199437.262499999953434,aare,pointe-dareuse,"32",33.000000000000000,46.946190000000001,6.870970000000000,Boudry,"1","72681"
2559902.184725461527705,1203937.262499999953434,2560479.534994651563466,1203437.262499999953434,aare,plage-de-serriere,"194",194.000000000000000,46.984850000000002,6.913450000000000,Neuchâtel,"1","76209"
2560335.197427353821695,1204687.262499999953434,2560912.547696543391794,1204187.262499999953434,aare,evole-plage,"1974",267.500000000000000,46.989477000000001,6.923920000000000,Neuchâtel,"12","76649"
2565098.337148169055581,1206937.262499999953434,2565675.687417358160019,1206437.262499999953434,aare,hauterive-petite-plage,"126",296.000000000000000,47.010796999999997,6.980304000000000,Hauterive (NE),"1","81507"
2568562.438763305544853,1201937.262499999953434,2569139.789032495580614,1201437.262499999953434,aare,impromptu_cudrefin,"27",223.000000000000000,46.964495999999997,7.027936000000000,Cudrefin,"1","85053"
2572026.540378443896770,1211437.262499999953434,2572603.890647633466870,1210937.262499999953434,aare,camp-des-peches,"53",145.000000000000000,47.052812000000003,7.074053000000000,Le Landeron,"1","88570"
2572892.565782228484750,1210937.262499999953434,2573469.916051418054849,1210437.262499999953434,aare,gals-reserve,"48",128.000000000000000,47.046271900000001,7.085007500000000,Gals,"2","89455"
2573758.591186012607068,1210937.262499999953434,2574335.941455202177167,1210437.262499999953434,aare,erlach-camping-strand,"101",183.000000000000000,47.047159000000001,7.097854000000000,Erlach,"1","90339"
2574624.616589797195047,1209937.262499999953434,2575201.966858986765146,1209437.262499999953434,aare,bielersee_vinelz_fankhausers,"898",429.500000000000000,47.038398399999998,7.108311400000000,Vinelz,"12","91225"
2576789.680099258199334,1215187.262499999953434,2577367.030368447769433,1214687.262499999953434,aare,ligerz-strand,"143",910.000000000000000,47.083978999999999,7.135894000000000,Ligerz,"2","93424"
2578088.718204935546964,1210937.262499999953434,2578666.068474124651402,1210437.262499999953434,aare,luscherz-plage,"194",74.000000000000000,47.047955100000003,7.151242000000000,Lüscherz,"4","94759"
2578088.718204935546964,1210937.262499999953434,2578666.068474124651402,1210437.262499999953434,aare,luscherz-two,"8",40.000000000000000,47.047519000000001,7.152829200000000,Lüscherz,"1","94759"
2581552.819820072501898,1210937.262499999953434,2582130.170089262071997,1210437.262499999953434,aare,beich,"14",22.000000000000000,47.048495000000003,7.200528000000000,Walperswil,"1","98295"
2583717.883329533971846,1220687.262499999953434,2584295.233598723541945,1220187.262499999953434,aare,mullermatte,"2722",524.000000000000000,47.133338999999999,7.227907000000000,Biel/Bienne,"12","100485"
2584150.896031426265836,1220437.262499999953434,2584728.246300615835935,1219937.262499999953434,aare,strandboden-biel,"247",347.000000000000000,47.132510000000003,7.233142000000000,Biel/Bienne,"2","100928"
2584150.896031426265836,1219937.262499999953434,2584728.246300615835935,1219437.262499999953434,aare,nidau-strand,"63",252.000000000000000,47.127195999999998,7.232613000000000,Nidau,"1","100929"
2584583.908733318559825,1205187.262499999953434,2585161.259002507664263,1204687.262499999953434,aare,mannewil,"69",156.000000000000000,46.996381999999997,7.239024000000000,Kallnach,"1","101400"
2585449.934137102682143,1204687.262499999953434,2586027.284406292252243,1204187.262499999953434,aare,gummligrabbe,"13",107.000000000000000,46.989289999999997,7.250730000000000,Kallnach,"1","102285"
2586748.972242779564112,1221937.262499999953434,2587326.322511969134212,1221437.262499999953434,aare,schusspark-strand,"98",103.500000000000000,47.146500000000003,7.268620000000000,Biel/Bienne,"2","103577"
2586748.972242779564112,1218437.262499999953434,2587326.322511969134212,1217937.262499999953434,aare,aare-port,"99",253.000000000000000,47.116169999999997,7.269550000000000,Port,"1","103584"
2587181.984944671392441,1218687.262499999953434,2587759.335213860962540,1218187.262499999953434,aare,aare_post,"20",25.000000000000000,47.116664999999998,7.271953000000000,Port,"1","104025"
2587614.997646563686430,1219437.262499999953434,2588192.347915753256530,1218937.262499999953434,aare,brugg-be-buren-bsg-standort,"36",102.000000000000000,47.122219999999999,7.281410000000000,Brügg,"1","104466"
2600172.366001438349485,1203187.262499999953434,2600749.716270627453923,1202687.262499999953434,aare,bern-fahrstrasse,"1",2.000000000000000,46.975866000000003,7.444210000000000,Bern,"1","117316"
2600605.378703330177814,1204437.262499999953434,2601182.728972519747913,1203937.262499999953434,aare,aare_bern_gerberm,"134",363.000000000000000,46.989363099999998,7.452097700000000,Bern,"1","117756"
2600605.378703330177814,1202437.262499999953434,2601182.728972519747913,1201937.262499999953434,aare,aare_bern_scheurerk,"4",12.000000000000000,46.970967199999997,7.452585700000000,Bern,"1","117760"
2600605.378703330177814,1198437.262499999953434,2601182.728972519747913,1197937.262499999953434,aare,bern-tiergarten,"8",16.000000000000000,46.933157399999999,7.452004100000000,Bern,"1","117768"
2601471.404107114765793,1198437.262499999953434,2602048.754376304335892,1197937.262499999953434,aare,aare_koniz_hoppej,"12",16.000000000000000,46.934588499999997,7.458170300000000,Köniz,"1","118652"
2605801.531126036774367,1227437.262499999953434,2606378.881395226344466,1226937.262499999953434,aare,aare-solothurn-lido-strand,"27",244.000000000000000,47.196948999999996,7.521643000000000,Solothurn,"1","123014"
2606667.556529821362346,1193937.262499999953434,2607244.906799010466784,1193437.262499999953434,aare,oberi-chlihochstetten,"57",320.000000000000000,46.896025000000002,7.532114000000000,Rubigen,"1","123965"
2610131.658144959248602,1230437.262499999953434,2610709.008414148818702,1229937.262499999953434,aare,spackmatt,"39",36.500000000000000,47.223748999999998,7.576711000000000,Luterbach,"2","127428"
2614461.785163881257176,1211937.262499999953434,2615039.135433070827276,1211437.262499999953434,aare,schutzenmatte,"41",87.000000000000000,47.057665999999998,7.634001000000000,Burgdorf,"1","131885"
2614461.785163881257176,1176937.262499999953434,2615039.135433070827276,1176437.262499999953434,aare,thun-strandbad,"233",124.000000000000000,46.739939000000000,7.633520000000000,Thun,"2","131955"
2614461.785163881257176,1175437.262499999953434,2615039.135433070827276,1174937.262499999953434,aare,camping-gwatt-strand,"43",172.000000000000000,46.727139999999999,7.629620000000000,Thun,"1","131958"
2614894.797865773551166,1174687.262499999953434,2615472.148134963121265,1174187.262499999953434,aare,delta-park,"69",200.000000000000000,46.720078000000001,7.635304000000000,Spiez,"1","132401"
2616626.848673342727125,1172687.262499999953434,2617204.198942532297224,1172187.262499999953434,aare,thunersee_spiez_meierd_1,"455",67.500000000000000,46.704436800000003,7.657882400000000,Spiez,"12","134173"
2618791.912182803731412,1170937.262499999953434,2619369.262451993301511,1170437.262499999953434,aare,augustmutzenbergstrandweg,"7",77.000000000000000,46.686639999999997,7.689760000000000,Spiez,"1","136387"
2627019.153518755920231,1170687.262499999953434,2627596.503787945490330,1170187.262499999953434,aare,sundbach-strand,"104",242.500000000000000,46.684386000000003,7.794768000000000,Beatenberg,"2","144785"
2628751.204326324630529,1169687.262499999953434,2629328.554595514200628,1169187.262499999953434,aare,weissenau-neuhaus,"1879",180.000000000000000,46.676583000000001,7.817528000000000,Unterseen,"12","146555"
2634813.382152815815061,1171187.262499999953434,2635390.732422005385160,1170687.262499999953434,aare,hafeli,"277",317.500000000000000,46.690283399999998,7.898592200000000,Bönigen,"2","152740"
2646504.725103905424476,1177437.262499999953434,2647082.075373094994575,1176937.262499999953434,aare,oben-am-see,"319",504.000000000000000,46.744451069999997,8.049921100000002,Brienz (BE),"1","164662"
2646504.725103905424476,1176937.262499999953434,2647082.075373094994575,1176437.262499999953434,aare,wycheley,"378",422.000000000000000,46.740369999999999,8.048640000000002,Brienz (BE),"2","164663"
2646937.737805797718465,1251187.262499999953434,2647515.088074987754226,1250687.262499999953434,aare,aare_suhrespitz_badert,"7",35.000000000000000,47.405669199999998,8.066018000000000,Aarau,"1","164956"
2659928.118862564209849,1261687.262499999953434,2660505.469131753314286,1261187.262499999953434,aare,aare-limmatspitz,"70",60.000000000000000,47.501060000000003,8.237371000000000,Gebenstorf,"1","178195"
2659928.118862564209849,1261187.262499999953434,2660505.469131753314286,1260687.262499999953434,aare,aare_brugg_buchie,"23",60.000000000000000,47.494855299999998,8.236558100000000,Brugg,"1","178196"
